"VESSEL","CRUISE","YEAR","HAUL","SUBSTRATA","LATITUDE","LONGITUDE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","START_TIME","BOTTOM_DEPTH","SPECIES_CODE","CPUE_KGHA","CPUE_NOHA","AREA_FISHED"
19,198201,1982.00,22,10,58.02,-162.74,2.7,1.7,6/15/1982 12:00:00,38,10285,15.95,35.25,4.65
19,198201,1982.00,23,10,57.7,-162.75,2.8,0.8,6/15/1982 15:00:00,42,10285,11.25,26.56,4.96
19,198201,1982.00,24,10,57.34,-162.76,4.1,0.7,6/15/1982 17:00:00,48,10285,20.32,34.81,5.08
19,198201,1982.00,25,31,57.01,-162.78,5.5,-0.5,6/15/1982 20:00:00,60,10285,16.05,29.06,4.85
19,198201,1982.00,26,31,56.68,-162.78,6,0.7,6/16/1982 8:00:00,71,10285,7.94,9.80,4.79
19,198201,1982.00,27,31,56.35,-162.79,6.4,2.7,6/16/1982 10:00:00,77,10285,14.29,22.44,5.47
19,198201,1982.00,28,31,56.02,-162.8,7.1,3.2,6/16/1982 13:00:00,77,10285,14.74,24.74,4.80
19,198201,1982.00,29,10,55.7,-162.82,7,4.7,6/16/1982 15:00:00,51,10285,3.02,6.72,4.31
19,198201,1982.00,30,31,55.33,-163.98,7,3.7,6/16/1982 20:00:00,73,10285,3.32,3.18,5.65
19,198201,1982.00,31,31,55.64,-164,7,2.1,6/17/1982 8:00:00,95,10285,1.53,5.59,4.29
19,198201,1982.00,33,31,56,-164,8,2,6/17/1982 11:00:00,90,10285,1.58,2.54,4.71
19,198201,1982.00,34,31,56.31,-163.99,7,2.3,6/17/1982 13:00:00,86,10285,4.04,5.74,5.05
19,198201,1982.00,35,31,56.66,-164,7.2,1.3,6/17/1982 16:00:00,75,10285,25.84,36.66,5.50
19,198201,1982.00,36,31,57,-163.99,6.5,-0.2,6/17/1982 18:00:00,68,10285,86.13,129.13,5.26
19,198201,1982.00,37,31,57.31,-163.99,6.5,-0.9,6/17/1982 20:00:00,62,10285,36.06,77.81,4.43
19,198201,1982.00,38,10,57.65,-163.99,6,0.7,6/18/1982 8:00:00,51,10285,37.66,106.71,4.39
19,198201,1982.00,39,10,57.98,-164,4.1,1.3,6/18/1982 10:00:00,46,10285,8.81,28.46,4.56
19,198201,1982.00,41,10,58.33,-163.99,4.5,2,6/18/1982 15:00:00,40,10285,18.70,51.81,4.76
19,198201,1982.00,42,10,58.66,-163.99,4,2.7,6/18/1982 17:00:00,31,10285,22.02,52.32,5.31
19,198201,1982.00,43,10,58.99,-163.99,4.4,4.6,6/18/1982 20:00:00,26,10285,86.98,222.80,4.23
19,198201,1982.00,44,10,59.31,-163.99,6.3,6,6/18/1982 22:00:00,20,10285,1.63,17.73,3.77
19,198201,1982.00,45,20,59.33,-165.27,4.5,4.5,6/19/1982 8:00:00,18,10285,7.66,25.94,4.31
19,198201,1982.00,46,10,59.01,-165.29,3.3,3.2,6/19/1982 10:00:00,26,10285,40.44,109.85,4.47
19,198201,1982.00,47,10,58.68,-165.29,5.6,2,6/19/1982 13:00:00,37,10285,47.71,130.15,4.70
19,198201,1982.00,48,10,58.34,-165.28,6.3,1.3,6/19/1982 15:00:00,44,10285,38.94,109.80,3.93
19,198201,1982.00,49,10,58.01,-165.24,6,1.1,6/19/1982 18:00:00,49,10285,69.32,180.72,4.25
19,198201,1982.00,50,31,57.68,-165.24,6.3,-0.4,6/19/1982 20:00:00,60,10285,84.32,186.73,4.91
19,198201,1982.00,51,31,57.35,-165.24,5.4,0,6/20/1982 9:00:00,68,10285,11.70,22.79,4.16
19,198201,1982.00,52,31,57.01,-165.21,5.3,0.1,6/20/1982 12:00:00,70,10285,102.58,140.81,5.11
19,198201,1982.00,53,31,56.68,-165.19,5.8,0.9,6/20/1982 15:00:00,75,10285,21.59,36.79,4.56
19,198201,1982.00,54,31,56.34,-165.19,5.9,1.7,6/20/1982 18:00:00,90,10285,8.47,8.62,4.17
19,198201,1982.00,55,31,56.01,-165.17,5.8,2.2,6/20/1982 21:00:00,97,10285,7.04,9.98,4.50
19,198201,1982.00,56,31,55.68,-165.15,5.9,4.8,6/21/1982 7:00:00,110,10285,0.00,0.00,4.33
19,198201,1982.00,57,50,55.34,-165.16,5.3,4.1,6/21/1982 10:00:00,112,10285,0.54,0.63,4.73
19,198201,1982.00,58,50,55.01,-165.15,5.3,4.1,6/21/1982 13:00:00,112,10285,0.00,0.00,4.08
19,198201,1982.00,59,50,55.01,-166.34,6,4.9,6/26/1982 9:00:00,143,10285,0.00,0.00,4.25
19,198201,1982.00,60,50,55.31,-166.34,9.9,4.2,6/26/1982 11:00:00,134,10285,0.00,0.00,4.82
19,198201,1982.00,61,50,55.64,-166.37,6.6,4.2,6/26/1982 14:00:00,128,10285,0.00,0.00,4.68
19,198201,1982.00,62,50,55.98,-166.4,6.8,3.9,6/26/1982 16:00:00,123,10285,0.00,0.00,4.69
19,198201,1982.00,63,31,56.31,-166.41,6.7,2.6,6/26/1982 19:00:00,101,10285,14.25,15.76,4.94
19,198201,1982.00,64,31,56.64,-166.43,6.5,2.6,6/27/1982 8:00:00,80,10285,3.37,5.80,4.82
19,198201,1982.00,65,31,56.97,-166.46,6.2,2.1,6/27/1982 10:00:00,73,10285,26.33,39.64,4.49
19,198201,1982.00,66,31,57.31,-166.48,6,2.1,6/27/1982 13:00:00,68,10285,3.25,5.49,4.73
19,198201,1982.00,67,31,57.73,-166.53,5.6,1.3,6/27/1982 16:00:00,66,10285,42.45,83.40,4.93
19,198201,1982.00,68,31,57.98,-166.51,5.2,1.3,6/27/1982 18:00:00,60,10285,201.50,407.55,4.38
19,198201,1982.00,69,10,58.32,-166.56,4.2,3.3,6/28/1982 8:00:00,48,10285,98.98,252.23,4.46
19,198201,1982.00,70,20,58.65,-166.56,3.3,3,6/28/1982 10:00:00,42,10285,24.21,61.21,4.88
19,198201,1982.00,71,20,58.97,-166.57,3,3.4,6/28/1982 12:00:00,35,10285,13.45,33.13,5.82
19,198201,1982.00,72,20,59.33,-166.61,4.5,4.1,6/28/1982 15:00:00,27,10285,23.76,57.69,5.47
19,198201,1982.00,73,20,59.65,-166.64,5.8,5.7,6/28/1982 18:00:00,27,10285,8.26,29.48,5.01
19,198201,1982.00,74,20,60.33,-167.98,4.8,4.8,6/29/1982 10:00:00,29,10285,24.13,96.81,3.85
19,198201,1982.00,75,20,60.01,-167.97,4.5,3.8,6/29/1982 14:00:00,20,10285,38.48,125.35,2.88
19,198201,1982.00,76,20,59.67,-167.94,4.5,3.8,6/29/1982 16:00:00,33,10285,35.34,126.45,3.81
19,198201,1982.00,77,20,59.35,-167.91,2.8,2.8,6/29/1982 19:00:00,38,10285,43.82,101.27,4.70
19,198201,1982.00,78,20,59,-167.87,3.5,3,6/30/1982 8:00:00,40,10285,38.48,93.11,5.02
19,198201,1982.00,79,20,58.68,-167.87,3.5,3.3,6/30/1982 10:00:00,46,10285,51.38,138.84,4.73
19,198201,1982.00,80,41,58.35,-167.83,5.6,1.7,6/30/1982 12:00:00,59,10285,20.46,46.90,4.13
19,198201,1982.00,81,41,58.04,-167.78,6.9,2.1,6/30/1982 16:00:00,66,10285,36.46,60.48,3.53
19,198201,1982.00,82,31,57.68,-167.75,6.5,3.2,6/30/1982 18:00:00,68,10285,17.56,35.04,5.16
19,198201,1982.00,83,31,57.37,-167.73,7.5,3,6/30/1982 21:00:00,71,10285,2.11,3.77,5.03
19,198201,1982.00,84,31,56.98,-167.71,6.8,3.3,7/1/1982 8:00:00,77,10285,5.03,5.70,4.55
19,198201,1982.00,85,31,56.68,-167.66,7,3.2,7/1/1982 11:00:00,99,10285,9.93,12.64,4.50
19,198201,1982.00,86,50,56.34,-167.64,7.2,3.7,7/1/1982 13:00:00,128,10285,0.00,0.00,4.14
19,198201,1982.00,87,50,56.01,-167.61,6.6,4,7/1/1982 16:00:00,135,10285,0.00,0.00,3.88
19,198201,1982.00,88,50,55.72,-167.54,6.3,4.1,7/1/1982 19:00:00,135,10285,0.00,0.00,4.80
19,198201,1982.00,89,50,56.33,-168.88,6,4.1,7/2/1982 8:00:00,126,10285,0.00,0.00,4.63
19,198201,1982.00,90,32,56.65,-168.89,6,3.2,7/2/1982 11:00:00,99,10285,9.07,9.11,4.82
19,198201,1982.00,91,32,56.82,-169.31,4.4,3.4,7/2/1982 15:00:00,77,10285,4.93,9.33,4.50
19,198201,1982.00,92,32,56.98,-168.99,6.4,3.5,7/2/1982 17:00:00,79,10285,2.22,4.10,4.38
19,198201,1982.00,93,42,57.14,-169.33,5.1,3.5,7/3/1982 10:00:00,71,10285,4.91,8.98,3.22
19,198201,1982.00,94,42,57.31,-169.02,6.5,3.7,7/3/1982 12:00:00,71,10285,2.26,5.79,3.79
19,198201,1982.00,95,42,57.49,-169.29,6.5,3.7,7/3/1982 14:00:00,70,10285,16.72,39.73,4.68
19,198201,1982.00,96,42,57.66,-169.07,6.6,2.7,7/3/1982 17:00:00,68,10285,4.76,11.72,4.60
19,198201,1982.00,97,42,57.81,-169.3,6.2,3.3,7/3/1982 19:00:00,64,10285,29.19,59.50,4.77
19,198201,1982.00,98,42,58,-169.04,6.5,2,7/4/1982 8:00:00,70,10285,5.55,9.75,4.40
19,198201,1982.00,99,41,58.31,-169.11,6.9,2,7/4/1982 10:00:00,68,10285,13.19,22.06,4.57
19,198201,1982.00,100,41,58.64,-169.14,7.1,1.7,7/4/1982 12:00:00,62,10285,23.44,43.29,4.71
19,198201,1982.00,101,41,58.98,-169.18,6.4,3.2,7/4/1982 15:00:00,53,10285,72.93,140.70,5.11
19,198201,1982.00,102,20,59.31,-169.23,5.8,2.5,7/4/1982 17:00:00,49,10285,118.99,229.66,5.77
19,198201,1982.00,103,20,59.65,-169.26,6.1,2.1,7/4/1982 19:00:00,48,10285,71.96,137.94,5.14
19,198201,1982.00,104,20,59.99,-169.31,6.2,2.3,7/5/1982 8:00:00,46,10285,30.45,74.06,4.41
19,198201,1982.00,105,20,60.29,-169.33,4.4,2.6,7/5/1982 10:00:00,42,10285,9.64,28.61,4.05
19,198201,1982.00,106,41,60.33,-170.62,5.9,-0.7,7/5/1982 14:00:00,60,10285,23.42,29.54,5.31
19,198201,1982.00,107,41,60.01,-170.62,6.3,-0.6,7/5/1982 16:00:00,64,10285,8.61,17.57,4.21
19,198201,1982.00,108,41,59.68,-170.58,5.5,0,7/5/1982 19:00:00,66,10285,7.44,13.89,3.95
19,198201,1982.00,109,41,59.35,-170.54,4.9,1.2,7/6/1982 7:00:00,68,10285,36.35,61.94,4.53
19,198201,1982.00,110,41,59.02,-170.48,5.5,0.4,7/6/1982 10:00:00,71,10285,13.79,18.46,4.82
19,198201,1982.00,111,41,58.68,-170.43,5.9,0.9,7/6/1982 12:00:00,73,10285,11.58,19.91,4.82
19,198201,1982.00,112,41,58.35,-170.38,7.7,0.8,7/6/1982 15:00:00,73,10285,14.91,22.10,4.47
19,198201,1982.00,113,42,58.02,-170.32,5.5,1.8,7/6/1982 17:00:00,73,10285,8.76,11.38,4.12
19,198201,1982.00,114,42,57.85,-170.58,7,3.6,7/7/1982 7:00:00,77,10285,19.89,45.39,4.75
19,198201,1982.00,115,42,57.68,-170.29,6.9,3.2,7/7/1982 9:00:00,71,10285,9.53,18.39,4.78
19,198201,1982.00,116,42,57.51,-170.55,7.1,3.7,7/7/1982 12:00:00,73,10285,6.82,14.56,5.14
19,198201,1982.00,117,42,57.35,-170.28,6.3,5,7/7/1982 13:00:00,57,10285,0.11,0.24,4.07
19,198201,1982.00,118,42,57,-170.18,5.9,4.7,7/8/1982 11:00:00,66,10285,1.50,1.40,4.28
19,198201,1982.00,119,42,56.85,-170.44,6.3,3.7,7/8/1982 13:00:00,97,10285,0.88,1.29,4.62
19,198201,1982.00,120,42,56.67,-170.13,6.6,4,7/8/1982 16:00:00,95,10285,0.00,0.00,4.13
19,198201,1982.00,121,50,56.34,-170.06,6.3,4,7/8/1982 19:00:00,110,10285,0.00,0.00,4.70
19,198201,1982.00,122,61,56.66,-171.33,6.6,3.8,7/9/1982 8:00:00,119,10285,0.00,0.00,4.60
19,198201,1982.00,123,61,56.98,-171.4,6.2,3.7,7/9/1982 10:00:00,110,10285,0.00,0.00,4.88
19,198201,1982.00,124,41,57.31,-171.45,7,3.4,7/9/1982 12:00:00,101,10285,0.00,0.00,5.29
19,198201,1982.00,125,41,57.67,-171.51,6.9,3.2,7/9/1982 15:00:00,99,10285,0.00,0.00,4.76
19,198201,1982.00,126,41,57.97,-171.59,7,3.2,7/9/1982 17:00:00,97,10285,9.94,9.02,5.31
19,198201,1982.00,127,41,58.29,-171.64,6.6,3.3,7/9/1982 19:00:00,95,10285,7.07,8.40,5.35
19,198201,1982.00,128,41,58.69,-171.72,6.7,2.4,7/10/1982 7:00:00,93,10285,19.33,21.83,4.53
19,198201,1982.00,129,41,58.98,-171.77,6.3,1.2,7/10/1982 10:00:00,88,10285,12.65,17.35,5.35
19,198201,1982.00,130,43,59.31,-171.82,5.3,0.6,7/10/1982 12:00:00,80,10285,9.31,12.90,5.11
19,198201,1982.00,131,43,59.64,-171.88,4.9,1.6,7/10/1982 15:00:00,77,10285,20.77,23.16,4.74
19,198201,1982.00,132,43,59.96,-171.95,5.3,1.5,7/10/1982 17:00:00,66,10285,19.40,29.19,5.44
19,198201,1982.00,133,43,60.37,-172.19,4.1,-1,7/11/1982 9:00:00,59,10285,2.20,2.73,4.39
19,198201,1982.00,134,41,60.59,-172.1,4.1,-0.9,7/11/1982 11:00:00,62,10285,3.90,3.97,5.28
19,198201,1982.00,135,41,60.66,-172.72,3,1.9,7/11/1982 14:00:00,46,10285,53.83,57.38,4.65
19,198201,1982.00,136,41,60.64,-173.33,3.8,2.2,7/12/1982 9:00:00,60,10285,0.19,0.42,4.68
19,198201,1982.00,137,43,60.31,-173.39,4.5,1,7/12/1982 13:00:00,60,10285,4.60,7.45,2.41
19,198201,1982.00,138,43,59.97,-173.27,5.4,0.1,7/12/1982 16:00:00,77,10285,5.06,4.90,2.24
19,198201,1982.00,139,61,57.74,-172.81,6.8,3.5,7/13/1982 10:00:00,121,10285,0.79,1.22,4.91
19,198201,1982.00,141,61,56.67,-172.63,7.2,4,7/13/1982 19:00:00,139,10285,0.00,0.00,4.35
19,198201,1982.00,142,61,57.03,-173.28,7.3,4.1,7/18/1982 8:00:00,139,10285,0.00,0.00,4.45
19,198201,1982.00,143,61,57.01,-172.69,7,3.8,7/18/1982 11:00:00,121,10285,0.00,0.00,3.85
19,198201,1982.00,144,61,57.31,-172.72,7.4,4.2,7/18/1982 13:00:00,113,10285,0.00,0.00,4.44
19,198201,1982.00,145,61,57.34,-173.27,7.1,,7/18/1982 16:00:00,119,10285,0.00,0.00,5.29
19,198201,1982.00,146,61,57.65,-173.37,7.4,,7/18/1982 19:00:00,143,10285,0.00,0.00,4.74
19,198201,1982.00,147,61,57.97,-173.48,7.5,3.5,7/19/1982 8:00:00,117,10285,0.62,1.09,4.58
19,198201,1982.00,148,61,58.01,-172.89,7.5,3.5,7/19/1982 10:00:00,108,10285,0.54,0.47,4.19
19,198201,1982.00,149,61,58.35,-172.93,8.3,3.2,7/19/1982 14:00:00,110,10285,2.97,2.62,6.10
19,198201,1982.00,150,61,58.63,-172.96,7.5,3.4,7/19/1982 17:00:00,112,10285,2.25,1.91,5.22
19,198201,1982.00,151,61,59.02,-173.08,7.4,3.1,7/20/1982 8:00:00,106,10285,0.35,0.39,5.07
19,198201,1982.00,152,43,59.32,-173.17,7.1,1.5,7/20/1982 11:00:00,101,10285,0.35,0.38,5.13
19,198201,1982.00,153,43,59.67,-173.25,8,1.4,7/20/1982 14:00:00,95,10285,4.77,4.10,5.59
19,198201,1982.00,154,62,59.31,-173.8,7.1,2.3,7/20/1982 18:00:00,112,10285,5.29,4.28,5.13
19,198201,1982.00,155,61,58.92,-173.62,7.5,3,7/21/1982 7:00:00,119,10285,0.79,0.55,5.44
19,198201,1982.00,156,61,58.68,-173.63,7.4,3.3,7/21/1982 9:00:00,126,10285,0.00,0.00,5.16
19,198201,1982.00,157,61,58.34,-173.59,7.4,3.3,7/21/1982 13:00:00,115,10285,0.00,0.00,3.97
19,198201,1982.00,158,61,58.37,-174.28,7.4,3.7,7/21/1982 16:00:00,154,10285,0.00,0.00,3.45
19,198201,1982.00,159,61,58.67,-174.29,7.5,3.4,7/21/1982 19:00:00,155,10285,0.00,0.00,5.72
19,198201,1982.00,168,61,59.04,-174.32,7.6,3,7/23/1982 13:00:00,124,10285,0.62,0.43,4.61
19,198201,1982.00,169,62,59.32,-174.45,7.5,2.8,7/23/1982 15:00:00,119,10285,0.00,0.00,5.19
19,198201,1982.00,170,62,59.67,-174.47,7.5,2.4,7/23/1982 18:00:00,115,10285,0.00,0.00,4.53
19,198201,1982.00,171,62,60,-174.57,7.4,1.8,7/24/1982 7:00:00,106,10285,0.63,0.59,5.00
19,198201,1982.00,172,62,60.32,-174.72,7.5,1.3,7/24/1982 9:00:00,102,10285,0.33,0.18,5.47
19,198201,1982.00,173,41,60.69,-174.8,7.4,0.8,7/24/1982 12:00:00,95,10285,0.00,0.00,5.54
19,198201,1982.00,185,61,60.66,-175.49,7.6,2,7/26/1982 18:00:00,108,10285,0.00,0.00,5.69
19,198201,1982.00,186,61,60.27,-175.37,7.7,2.4,7/27/1982 7:00:00,112,10285,0.17,0.17,5.72
19,198201,1982.00,187,61,60,-175.33,7.7,2.5,7/27/1982 9:00:00,117,10285,0.00,0.00,4.76
19,198201,1982.00,188,61,59.66,-175.17,7.6,2.8,7/27/1982 13:00:00,126,10285,0.00,0.00,4.10
19,198201,1982.00,189,61,59.33,-175.14,7.7,3,7/27/1982 15:00:00,134,10285,0.00,0.00,4.89
19,198201,1982.00,190,61,59.03,-175.06,7.8,2.9,7/27/1982 18:00:00,130,10285,0.56,0.38,5.22
19,198201,1982.00,191,61,58.69,-174.99,7.6,3.5,7/28/1982 8:00:00,198,10285,0.00,0.00,5.21
19,198201,1982.00,192,61,58.68,-175.53,7.7,3.3,7/28/1982 10:00:00,135,10285,0.00,0.00,4.77
19,198201,1982.00,193,61,58.95,-175.74,7.9,4.5,7/28/1982 12:00:00,132,10285,0.00,0.00,4.22
19,198201,1982.00,194,61,59.32,-175.79,8,2.3,7/28/1982 15:00:00,137,10285,0.00,0.00,5.37
19,198201,1982.00,195,61,59.67,-175.92,8,2.5,7/28/1982 17:00:00,137,10285,0.00,0.00,5.21
19,198201,1982.00,196,61,59.95,-175.96,8,2.5,7/28/1982 20:00:00,132,10285,0.00,0.00,4.91
19,198201,1982.00,197,61,60.3,-176.06,7.9,2.6,7/29/1982 7:00:00,123,10285,0.00,0.00,4.85
19,198201,1982.00,198,61,60.65,-176.25,7.9,2.2,7/29/1982 10:00:00,119,10285,0.00,0.00,5.35
19,198201,1982.00,199,90,60.98,-176.32,7.9,2.1,7/29/1982 12:00:00,113,10285,0.30,0.22,4.44
19,198201,1982.00,200,90,61.3,-176.34,7.6,1.6,7/29/1982 15:00:00,106,10285,0.00,0.00,5.10
19,198201,1982.00,201,90,61.65,-176.5,7.2,1.3,7/29/1982 17:00:00,104,10285,0.00,0.00,4.91
19,198201,1982.00,204,90,61.34,-177.01,7.4,,7/30/1982 10:00:00,115,10285,0.00,0.00,3.91
19,198201,1982.00,205,90,61.02,-177.01,7.6,2.4,7/30/1982 13:00:00,121,10285,0.00,0.00,4.38
19,198201,1982.00,206,61,60.67,-176.84,7.8,2.2,7/30/1982 16:00:00,130,10285,0.00,0.00,4.22
19,198201,1982.00,207,61,60.33,-176.76,7.6,2.1,7/30/1982 19:00:00,137,10285,0.00,0.00,5.02
19,198201,1982.00,208,61,60.04,-176.74,7.8,2.2,7/31/1982 8:00:00,141,10285,0.00,0.00,4.42
19,198201,1982.00,209,61,59.68,-176.58,8,,7/31/1982 10:00:00,135,10285,0.00,0.00,4.39
19,198201,1982.00,210,61,59.36,-176.45,7.9,2.7,7/31/1982 13:00:00,137,10285,0.00,0.00,4.17
19,198201,1982.00,211,61,59.02,-176.36,7.9,2.6,7/31/1982 17:00:00,137,10285,0.00,0.00,4.48
19,198201,1982.00,212,61,58.7,-176.3,7.9,3.3,7/31/1982 19:00:00,137,10285,0.00,0.00,4.32
19,198201,1982.00,213,61,58.69,-176.91,7.9,3.4,8/1/1982 8:00:00,137,10285,0.00,0.00,5.08
19,198201,1982.00,214,61,58.97,-177,7.7,3.1,8/1/1982 10:00:00,135,10285,0.00,0.00,4.89
19,198201,1982.00,215,61,58.99,-177.58,7.6,3.1,8/1/1982 12:00:00,137,10285,0.00,0.00,5.81
19,198201,1982.00,216,61,59.3,-177.15,7.7,3,8/1/1982 15:00:00,154,10285,0.00,0.00,5.12
19,198201,1982.00,217,61,59.63,-177.18,8,3.5,8/1/1982 19:00:00,183,10285,0.00,0.00,4.89
19,198201,1982.00,218,61,59.96,-177.24,7.9,2,8/1/1982 21:00:00,137,10285,0.00,0.00,4.89
1,198203,1982.00,1,10,58.01,-158.31,2.3,0.5,5/29/1982 7:00:00,37,10285,0.15,0.93,4.28
1,198203,1982.00,2,10,57.67,-158.36,1.1,-0.6,5/29/1982 9:00:00,38,10285,0.40,1.29,4.63
1,198203,1982.00,3,10,57.33,-158.41,2.4,0.5,5/29/1982 13:00:00,29,10285,0.69,4.10,4.38
1,198203,1982.00,4,10,56.68,-159.76,2.8,0.7,5/29/1982 20:00:00,40,10285,0.37,2.31,4.74
1,198203,1982.00,6,10,56.99,-159.72,0.8,0.4,6/5/1982 10:00:00,59,10285,0.56,1.35,4.41
1,198203,1982.00,7,10,57.31,-159.66,1.8,0.6,6/5/1982 13:00:00,59,10285,0.14,0.72,4.14
1,198203,1982.00,8,10,57.65,-159.64,1,0.3,6/5/1982 16:00:00,55,10285,3.31,13.73,3.34
1,198203,1982.00,9,10,57.99,-159.6,0.9,0,6/6/1982 6:00:00,44,10285,0.57,2.11,4.26
1,198203,1982.00,10,10,58.32,-159.54,1.1,0.8,6/6/1982 9:00:00,26,10285,7.58,30.64,4.20
1,198203,1982.00,11,10,58.33,-160.72,4.4,4.1,6/6/1982 14:00:00,20,10285,0.49,3.58,4.18
1,198203,1982.00,12,10,58,-160.85,3.7,1.9,6/6/1982 17:00:00,46,10285,19.96,71.87,4.53
1,198203,1982.00,13,31,57.67,-160.89,2.1,0.8,6/7/1982 6:00:00,59,10285,6.44,12.47,4.81
1,198203,1982.00,14,31,57.34,-160.94,2.4,0.6,6/7/1982 9:00:00,66,10285,9.99,22.75,4.57
1,198203,1982.00,15,31,57.01,-160.95,3.5,-0.3,6/7/1982 12:00:00,66,10285,11.57,33.49,4.44
1,198203,1982.00,16,31,56.67,-160.99,4.2,0.8,6/7/1982 15:00:00,70,10285,2.58,7.10,4.64
1,198203,1982.00,17,10,56.34,-161,6.3,2.1,6/7/1982 18:00:00,53,10285,1.18,4.37,4.56
1,198203,1982.00,18,31,56,-162.23,5.8,3,6/8/1982 7:00:00,73,10285,3.65,9.68,4.64
1,198203,1982.00,19,31,56.32,-162.2,3.5,1.7,6/8/1982 10:00:00,80,10285,1.65,4.72,4.65
1,198203,1982.00,20,31,56.65,-162.18,4.3,0.2,6/8/1982 13:00:00,75,10285,15.98,25.08,4.58
1,198203,1982.00,21,31,56.99,-162.17,3.5,0.1,6/8/1982 16:00:00,62,10285,11.49,20.94,4.20
1,198203,1982.00,22,10,57.33,-162.15,1.6,0.5,6/9/1982 7:00:00,53,10285,29.69,69.62,4.56
1,198203,1982.00,23,10,57.66,-162.13,2.6,1,6/9/1982 10:00:00,49,10285,32.50,81.89,4.56
1,198203,1982.00,24,10,57.98,-162.13,2.1,1.5,6/9/1982 12:00:00,40,10285,8.93,18.27,4.15
1,198203,1982.00,25,10,58.31,-162.06,2.3,1.5,6/9/1982 15:00:00,49,10285,5.31,20.58,4.12
1,198203,1982.00,26,10,58.99,-163.34,3.6,3,6/10/1982 6:00:00,22,10285,9.63,36.13,4.09
1,198203,1982.00,27,10,58.68,-163.36,2.4,1.8,6/10/1982 10:00:00,33,10285,48.67,141.00,4.16
1,198203,1982.00,28,10,58.34,-163.38,2,1.1,6/10/1982 13:00:00,37,10285,25.67,72.64,4.46
1,198203,1982.00,29,10,58.01,-163.39,2,0.7,6/10/1982 16:00:00,46,10285,26.50,70.50,4.55
1,198203,1982.00,30,10,57.68,-163.39,2.2,0.7,6/10/1982 19:00:00,48,10285,55.87,156.78,4.73
1,198203,1982.00,31,10,57.34,-163.4,2.9,0.3,6/11/1982 9:00:00,57,10285,32.27,62.03,4.38
1,198203,1982.00,32,31,57.01,-163.39,3.1,0.5,6/11/1982 12:00:00,70,10285,12.40,36.02,4.60
1,198203,1982.00,33,31,56.68,-163.38,5.6,0.3,6/11/1982 15:00:00,77,10285,27.61,42.32,4.58
1,198203,1982.00,34,31,56.34,-163.39,5.4,1.4,6/11/1982 18:00:00,88,10285,6.89,8.65,4.73
1,198203,1982.00,35,31,56,-163.39,5.5,2.7,6/12/1982 6:00:00,91,10285,2.02,3.12,4.48
1,198203,1982.00,36,31,55.68,-163.4,5.8,2.5,6/12/1982 9:00:00,84,10285,13.41,17.66,4.69
1,198203,1982.00,37,31,55.35,-163.41,5.7,4.4,6/12/1982 12:00:00,55,10285,53.77,141.75,4.62
